Fecha de Presentacion;Proyecto;Codigo;Proponente(s);Cargo;Comision;Estado;Total_Propuestas;;;
2/8/2024;Proyecto de Ley Orgánica Reformatoria a la Ley de Defensa del Trabajador Autónomo y del Comerciante Minorista;Cod. AN-2024-3010 / 453810;SAMANIEGO MAIGUA  FRANKLIN OMAR;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;19;;;
2/8/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Carrera Sanitaria;Cod. AN-2024-3009 / 453797;HERRERA GOMEZ ANA CECILIA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;7;;;
2/8/2024;Proyecto de Ley Orgánica Reformatoria de la Ley de Educación Superior para regular el patrimonio y requisitos de creación de las instituciones de Educación Superior;Cod. AN-2024-3008 / 453765;RECALDE ALAVA ECKENNER READER;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales;En trámite / Revisión en Comisión para Primer Debate;5;;;
1/8/2024;Proyecto de Ley Orgánica Reformatoria de la Ley Orgánica de Servicio Exterior;Cod. AN-2024-3001 / 453679;CRUZ ZAMBRANO CARLA MAGALY;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;En trámite / Revisión en el Consejo de Administración Legislativa;1;;;
1/8/2024;Proyecto de Ley Reformatoria a la Ley de Minería para garantizar la redistribución de recursos provenientes de patentes de conservación para concesión minera entre los Gobiernos Autónomos Descentralizados Parroquiales Rurales;Cod. AN-2024-3005 / 453707;VALLADAREZ GONZALEZ HECTOR GUILLERMO, CORDOVA COMPS PASCACIO  Y RIVADENEIRA ANDREA;ASAMBLEÍSTAS / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;2;;;
1/8/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico Integral Penal;Cod. AN-2024-3002 / 453680;POSSO NARANJO LUCIA ANABELLE;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;1;;;
1/8/2024;Proyecto de Reforma al Código Orgánico Integral Penal;Cod. AN-2024-3000 / 453676;PEÑAFIEL CEDEÑO JORGE ANDRÉS Y BEDON ALVAREZ GABRIEL HUMBERTO;ASAMBLEÍSTAS / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;1;;;
1/8/2024;Proyecto de Ley Reformatoria a la Ley Orgánica del Concejo de Participación Ciudadana y Control Social;Cod. AN-2024-3006 / 453713;SAMANIEGO MAIGUA  FRANKLIN OMAR;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Transparencia, Participación Ciudadana y Control Social;En trámite / Revisión en Comisión para Primer Debate;19;;;
1/8/2024;Proyecto de Ley Orgánica Reformatoria de la Ley Orgánica de Educación Intercultural para un mejor acceso a la educación en la provincia de Galápagos y las zonas de difícil acceso;Cod. AN-2024-3007 / 453714;AGUAS FLORES MILTON JAVIER;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales;En trámite / Revisión en Comisión para Primer Debate;3;;;
1/8/2024;Proyecto de Ley Reformatoria al Código Orgánico Integral Penal para regular la proporcionalidad de la sanción de las contravenciones de tránsito;Cod. AN-2024-3004 / 453696;PARRA VILLACIS JONATHAN EMANUEL;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;2;;;
1/8/2024;Proyecto de Ley de Ejercicio Profesional del Trabajo Social;Cod. AN-2024-3003 / 453684;CORRAL ALAVA RAISA IRINA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión del Derecho al Trabajo y a la Seguridad Social;En trámite / Revisión en Comisión para Primer Debate;2;;;
31/7/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico de la Función Judicial para la protección de víctimas, testigos y otros participantes del proceso penal;Cod. AN-2024-2997 / 453600;GALARZA AÑAZCO ANA MERCEDES;ASAMBLEÍSTA / ASAMBLEA NACIONAL ;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;7;;;
31/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Transporte Terrestre, Tránsito y Seguridad Vial y al Código Orgánico Integral Penal;Cod. AN-2024-2999 / 453618;UGSHA TOAQUIZA CESAR AUGUSTO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;2;;;
31/7/2024;Proyecto de Ley Orgánica Reformatoria a varias leyes para el fomento del deporte, educación física y recreación;Cod. AN-2024-2998 / 453622;SALAZAR HIDALGO MONICA DE JESUS;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;4;;;
30/7/2024;Proyecto de Ley Orgánica Reformatoria de varios cuerpos legales para garantizar la igualdad de derechos en el retiro voluntario y jubilación de los trabajadores del sector público;Cod. AN-2024-2996 / 453598;OCHOA SUAREZ KARLA PIEDAD;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión del Derecho al Trabajo y a la Seguridad Social;En trámite / Revisión en Comisión para Primer Debate;1;;;
30/7/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico Integral Penal - extensión del delito de prevaricato a los jueces y conjueces de la Corte Nacional de Justicia;Cod. AN-2024-2985 / 453496;PASQUEL ANDRADE MARIA TERESA DEL CARMEN;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;2;;;
30/7/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico Integral Penal en materia de régimen de reincidencia, medidas cautelares y cálculo de penas;Cod. AN-2024-2991 / 453518;ACAITURRI VILLA VARAS JORGE ENRIQUE;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;4;;;
30/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Educación Intercultural LOEI;Cod. AN-2024-2988 / 453512;BOHORQUEZ TAPIA MANUEL OSWAL;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales;En trámite / Revisión en Comisión para Primer Debate;1;;;
30/7/2024;Proyecto de Ley Orgánica Reformatoria al Código del Trabajo para la gestión ética y transparencia en asociaciones y sindicatos de trabajadores;Cod. AN-2024-2989 / 453515;SANCHEZ URGILES SANDRA SOFIA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;En trámite / Revisión en el Consejo de Administración Legislativa;5;;;
30/7/2024;Proyecto de Ley Reformatoria a la Ley de Inquilinato;Cod. AN-2024-2992 / 453523;HERRERA GOMEZ ANA CECILIA Y SALAZAR HIDALGO MONICA DE JESUS;ASAMBLEÍSTAS / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;1;;;
30/7/2024;Proyecto de Ley para el Fomento y Desarrollo de la Inteligencia Artificial;Cod. AN-2024-2990 / 453516;SUBIA DÁVALOS KARINA DEL CARMEN;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales;En trámite / Revisión en Comisión para Primer Debate;2;;;
30/7/2024;Proyecto de Ley Orgánica Reformatoria a varias leyes para el impulso de las actividades agroproductivas;Cod. AN-2024-2993 / 453531;GARCÍA MEJÍA ADRIANA DENISSE;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;4;;;
30/7/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico de Organización Territorial, Autonomía y Descentralización COOTAD para fortalecer la seguridad ciudadana;Cod. AN-2024-2994 / 453532;ORDOÑEZ BRAVO STEVEN LEONARDO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio;En trámite / Revisión en Comisión para Primer Debate;4;;;
30/7/2024;Proyecto de Ley Orgánica de Preservación y Prevención de impacto de olas rompientes en el Litoral Ecuatoriano;Cod. AN-2024-2987 / 453509;PATRICIO BENJAMIN CISNEROS GRANIZO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Biodiversidad y Recursos Naturales;En trámite / Revisión en Comisión para Primer Debate;1;;;
30/7/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico Integral Penal para la protección penal de la eficiencia administrativa y la responsabilidad por omisión;Cod. AN-2024-2986 / 453498;LAVAYEN TAMAYO JOHNNY ALFREDO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Justicia y Estructura del Estado;En trámite / Revisión en Comisión para Primer Debate;1;;;
30/7/2024;Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica del Sistema Nacional de Contratación Pública;Cod. AN-2024-2995 / 453569;TIUPUL URQUIZO CARMEN YOLANDA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Régimen Económico y Tributario y su Regulación y Control;En trámite / Revisión en Comisión para Primer Debate;4;;;
29/7/2024;Proyecto de Ley Orgánica de Inteligencia, Inteligencia Estratégica y Contrainteligencia;Cod. AN-2024-2983 / AN-MVDF-2024-0072-M;MATOVELLE VERA DIEGO FERNANDO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Soberanía, Integración y Seguridad Integral;En trámite / Revisión en Comisión para Primer Debate;3;;;
26/7/2024;Proyecto de Ley Orgánica Reformatoria al Código Orgánico de Organización Territorial (CCOTAD);Cod. AN-2024-2982 / 453287;ZAPATA ROJAS HERNAN PATRICIO;ASAMBLEÍSTA / ASAMBLEA NACIONAL;Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio;En trámite / Revisión en Comisión para Primer Debate;1;;;
23/7/2024;Proyecto de Ley Orgánica de la Policía Nacional del Ecuador;Cod. AN-2024-2979 / AN-KKHF-2024-0019-M;KRONFLE KOZHAYA  HENRY FABIÁN ;ASAMBLEISTA / ASAMBLEA NACIONAL;Comisión del Derecho al Trabajo y a la Seguridad Social;En trámite / Revisión en Comisión para Primer Debate;5;;;
22/7/2024;Proyecto de Ley para la Recuperación Económica y Productiva del sector agropecuario en las provincias de Manabí y Esmeraldas;Cod. AN-2024-2978 / 452974;CENTENO ARTEAGA VALENTINA;ASAMBLEÍSTA / ASAMBLEA NACIONAL;No Asignada;No Calificado / Archivado;1;;;
