titulo,enlace,link
Spain plans 100% house tax on foreigners: Will it fix the housing crisis?,https://www.aljazeera.com/news/2025/1/25/spain-plans-100-house-tax-on-foreigners-will-it-fix-the-housing-crisis,
Between bombs and books: The lasting impact of war on Lebanese students,https://www.aljazeera.com/features/2025/1/25/between-bombs-and-books-the-lasting-impact-of-war-on-lebanese-students,
"Trump decree paves way for ‘Muslim ban’, targeting pro-Palestine students",https://www.aljazeera.com/news/2025/1/24/trump-decree-paves-way-for-muslim-ban-targeting-pro-palestine-students,
Who are the female Israeli soldiers released by Hamas?,https://www.aljazeera.com/news/2025/1/24/who-are-the-female-israeli-soldiers-being-released-by-hamas,
‘Less than slaves’: The Palestinians detained by Israel despite ceasefire,https://www.aljazeera.com/features/2025/1/24/less-than-slaves-the-palestinians-detained-by-israel-despite-ceasefire,
Trump imposes 25% tariffs on Colombia as deported migrant flights blocked,https://www.bbc.com/news/articles/cdxny0lnyepo,
Co-operate or else: Trump's Colombia face-off is warning to all leaders,https://www.bbc.com/news/articles/cglynrxjyl5o,
"My opponents choose jail and exile, Lukashenko tells BBC",https://www.bbc.com/news/articles/c23npdrj41do,
Inside the race for Greenland's mineral wealth,https://www.bbc.com/news/articles/c9d5jwvw9nlo,
Lebanon ceasefire deal extended as initial deadline passes,https://www.bbc.com/news/articles/cx25x2lvk7ro,
Co-operate or else: Trump's Colombia face-off is warning to all leaders,https://www.bbc.com/news/articles/cglynrxjyl5o,
Six hostages to be freed and Gazans to be allowed north - Israel,https://www.bbc.com/news/articles/c8r5y75d17vo,
Survivors return as world remembers Auschwitz 80 years after liberation,https://www.bbc.com/news/articles/czj3mde43k2o,
Rebels say they have taken DR Congo city as thousands flee,https://www.bbc.com/news/articles/c0qwlkydxxko,
"My opponents choose jail and exile, Lukashenko tells BBC",https://www.bbc.com/news/articles/c23npdrj41do,
Merciless Sinner wins back-to-back Melbourne titles,https://www.bbc.com/sport/tennis/articles/cvge3kp6801o,
Nick Cave says work repelled him after death of sons,https://www.bbc.com/news/articles/c0lz69ndnreo,
Impeached S Korean president charged with insurrection,https://www.bbc.com/news/articles/cr53r1d0jz4o,
"Confident, organised, still freewheeling: Trump 2.0 has learned from past",https://www.bbc.com/news/articles/c17ew9ezw0ko,
Huge crowds await return to north Gaza after delays,https://www.bbc.com/news/articles/c9qjy4lzqn3o,
Trump ally criticises pardons for violent Jan 6 offenders,https://www.bbc.com/news/articles/c79dlyzvnvxo,
Trump says he believes US will 'get Greenland',https://www.bbc.com/news/articles/crkezj07rzro,
Mexican workers set up tent city to house deportees from US,https://www.bbc.com/news/articles/czdlvj32lgdo,
Co-operate or else: Trump's Colombia face-off is warning to all leaders,https://www.bbc.com/news/articles/cglynrxjyl5o,
How Auschwitz became centre of Nazi Holocaust,https://www.bbc.com/news/world-europe-50743973,
'I don't want to buy a £4 coffee just so I can use the loo',https://www.bbc.com/news/articles/cj48571qq7vo,
The 2010s lost classics that became sleeper hits a decade on,https://www.bbc.com/news/articles/cgj2l4e1d09o,
'I spent 30 years searching for secret to happiness - the answer isn't what I thought',https://www.bbc.com/news/articles/c5ye6d43rqwo,
How Auschwitz became centre of Nazi Holocaust,https://www.bbc.com/news/world-europe-50743973,
Dam plan busted? World's biggest hydropower project in the balance,https://www.bbc.com/news/articles/c62jmq0z89jo,
Three children drown every day in India's wetlands. But mothers are fighting back,https://www.bbc.com/news/articles/cx2kj8ypglpo,
'I don't want to buy a £4 coffee just so I can use the loo',https://www.bbc.com/news/articles/cj48571qq7vo,
Two teenagers rescued from Slieve Donard,https://www.bbc.com/news/videos/czrl6drxm25o,
Drone footage shows sunken Greek village re-emerging from lake,https://www.bbc.com/news/videos/c15gyq7d715o,
Huge Athens crowds demand justice for 2023 train crash,https://www.bbc.com/news/videos/c1jgn1le7wzo,
What is the weather to be like where you are in Scotland?,https://www.bbc.com/news/videos/c8ed1lylpjeo,
"Sao Paulo storm brings floods, chaos and lightning",https://www.bbc.com/news/videos/cdrykzr5038o,
Mexican workers set up tent city to house deportees from US,https://www.bbc.com/news/articles/czdlvj32lgdo,
US Air Force removes lessons on black WWII pilots from training,https://www.bbc.com/news/articles/c74e175p40qo,
Trump says he believes US will 'get Greenland',https://www.bbc.com/news/articles/crkezj07rzro,
Thieves use explosives to steal gold 'masterpieces' from Dutch museum,https://www.bbc.com/news/articles/czxkpnnlpdvo,
Trump says Keir Starmer doing 'very good job',https://www.bbc.com/news/articles/cqjvyyn7k99o,
US Air Force removes lessons on black WWII pilots from training,https://www.bbc.com/news/articles/c74e175p40qo,
CIA says lab leak most likely source of Covid outbreak,https://www.bbc.com/news/articles/cd9qjjj4zy5o,
